agent,refactoring_type,count,agent_total,share_pct
Copilot,Add Parameter Modifier,2,15806,0.012653422750854106
Copilot,Remove Class Modifier,2,15806,0.012653422750854106
Copilot,Replace Anonymous With Lambda,2,15806,0.012653422750854106
Copilot,Replace Attribute With Variable,2,15806,0.012653422750854106
Copilot,Split Method,2,15806,0.012653422750854106
Copilot,Try With Resources,2,15806,0.012653422750854106
Copilot,Extract Interface,1,15806,0.006326711375427053
Copilot,Merge Conditional,1,15806,0.006326711375427053
Copilot,Merge Package,1,15806,0.006326711375427053
Copilot,Merge Variable,1,15806,0.006326711375427053
Copilot,Modify Parameter Annotation,1,15806,0.006326711375427053
Copilot,Move And Rename Attribute,1,15806,0.006326711375427053
Copilot,Replace Conditional With Ternary,1,15806,0.006326711375427053
Cursor,Extract Method,9,31,29.03225806451613
