agent,refactoring_type,count,share_pct
Human,Inline Method,43,0.24539177081549962
Human,Replace Attribute With Variable,41,0.23397820007989498
Human,Move Code,39,0.22256462934429036
Human,Parameterize Attribute,35,0.1997374878730811
Human,Replace Anonymous With Lambda,35,0.1997374878730811
Human,Move Package,34,0.1940307025052788
Human,Remove Class Annotation,32,0.18261713176967415
Human,Modify Method Annotation,26,0.14837641956286024
Human,Push Down Method,23,0.1312560634594533
Human,Remove Variable Modifier,21,0.11984249272384866
Human,Remove Parameter Annotation,17,0.0970153512526394
Human,Push Down Attribute,16,0.09130856588483707
Human,Split Method,14,0.07989499514923243
Human,Move And Inline Method,12,0.0684814244136278
Human,Localize Parameter,11,0.06277463904582549
Human,Move And Rename Attribute,11,0.06277463904582549
Human,Extract Interface,10,0.057067853678023174
Human,Merge Class,10,0.057067853678023174
Human,Modify Attribute Annotation,10,0.057067853678023174
Human,Replace Anonymous With Class,10,0.057067853678023174
Human,Remove Thrown Exception Type,8,0.045654282942418536
Human,Extract Subclass,7,0.039947497574616214
Human,Change Type Declaration Kind,6,0.0342407122068139
Human,Replace Conditional With Ternary,6,0.0342407122068139
Human,Split Attribute,5,0.028533926839011587
Human,Split Parameter,5,0.028533926839011587
Human,Merge Attribute,4,0.022827141471209268
Human,Merge Parameter,4,0.022827141471209268
Human,Reorder Parameter,4,0.022827141471209268
Human,Inline Attribute,2,0.011413570735604634
Human,Merge Package,2,0.011413570735604634
Human,Merge Variable,2,0.011413570735604634
Human,Merge Method,1,0.005706785367802317
Human,Split Class,1,0.005706785367802317
Human,Split Package,1,0.005706785367802317
OpenAI_Codex,Rename Parameter,556,15.145736856442385
OpenAI_Codex,Change Variable Type,341,9.289022064832471
OpenAI_Codex,Add Method Annotation,252,6.864614546445111
OpenAI_Codex,Change Method Access Modifier,239,6.510487605557069
OpenAI_Codex,Change Attribute Type,210,5.720512122037592
OpenAI_Codex,Rename Variable,199,5.42086624897848
OpenAI_Codex,Rename Method,195,5.311904113320621
OpenAI_Codex,Remove Method Annotation,178,4.848815036774721
OpenAI_Codex,Add Attribute Annotation,175,4.7670934350313265
OpenAI_Codex,Remove Attribute Annotation,131,3.5685099427948783
OpenAI_Codex,Add Attribute Modifier,129,3.514028874965949
OpenAI_Codex,Extract Variable,106,2.887496594933261
OpenAI_Codex,Rename Attribute,85,2.3154453827295014
OpenAI_Codex,Extract Method,83,2.260964314900572
OpenAI_Codex,Change Attribute Access Modifier,72,1.96131844184146
OpenAI_Codex,Change Parameter Type,57,1.5527104331244892
OpenAI_Codex,Change Return Type,57,1.5527104331244892
OpenAI_Codex,Change Class Access Modifier,54,1.470988831381095
OpenAI_Codex,Remove Thrown Exception Type,46,1.2530645600653774
OpenAI_Codex,Add Class Annotation,44,1.198583492236448
OpenAI_Codex,Add Parameter,43,1.1713429583219832
OpenAI_Codex,Remove Attribute Modifier,43,1.1713429583219832
OpenAI_Codex,Extract And Move Method,40,1.0896213565785888
OpenAI_Codex,Add Thrown Exception Type,28,0.7627349496050122
OpenAI_Codex,Inline Method,25,0.681013347861618
OpenAI_Codex,Add Variable Modifier,24,0.6537728139471534
OpenAI_Codex,Inline Variable,23,0.6265322800326887
OpenAI_Codex,Remove Parameter,16,0.4358485426314356
OpenAI_Codex,Change Thrown Exception Type,13,0.3541269408880414
OpenAI_Codex,Remove Class Annotation,12,0.3268864069735767
OpenAI_Codex,Remove Variable Modifier,12,0.3268864069735767
OpenAI_Codex,Modify Method Annotation,11,0.299645873059112
OpenAI_Codex,Pull Up Method,11,0.299645873059112
OpenAI_Codex,Add Method Modifier,10,0.2724053391446472
OpenAI_Codex,Move Attribute,10,0.2724053391446472
OpenAI_Codex,Rename Class,10,0.2724053391446472
OpenAI_Codex,Add Parameter Annotation,8,0.2179242713157178
OpenAI_Codex,Assert Throws,8,0.2179242713157178
OpenAI_Codex,Push Down Method,8,0.2179242713157178
OpenAI_Codex,Add Class Modifier,7,0.19068373740125305
OpenAI_Codex,Move Method,7,0.19068373740125305
OpenAI_Codex,Try With Resources,7,0.19068373740125305
OpenAI_Codex,Modify Attribute Annotation,6,0.16344320348678834
OpenAI_Codex,Parameterize Variable,6,0.16344320348678834
OpenAI_Codex,Remove Method Modifier,6,0.16344320348678834
OpenAI_Codex,Replace Variable With Attribute,6,0.16344320348678834
OpenAI_Codex,Extract Class,5,0.1362026695723236
OpenAI_Codex,Move And Inline Method,4,0.1089621356578589
OpenAI_Codex,Pull Up Attribute,4,0.1089621356578589
OpenAI_Codex,Replace Attribute With Variable,4,0.1089621356578589
