agent,full_name,refactoring_type,count
Copilot,Azure/azure-sdk-for-java,Change Attribute Type,240
Copilot,Azure/azure-sdk-for-java,Change Class Access Modifier,4
Copilot,Azure/azure-sdk-for-java,Change Method Access Modifier,106
Copilot,Azure/azure-sdk-for-java,Change Parameter Type,221
Copilot,Azure/azure-sdk-for-java,Change Return Type,449
Copilot,Azure/azure-sdk-for-java,Change Thrown Exception Type,12
Copilot,Azure/azure-sdk-for-java,Change Variable Type,930
Copilot,Azure/azure-sdk-for-java,Encapsulate Attribute,21
Copilot,Azure/azure-sdk-for-java,Extract And Move Method,13
Copilot,Azure/azure-sdk-for-java,Extract Attribute,9
Copilot,Azure/azure-sdk-for-java,Extract Class,26
Copilot,Azure/azure-sdk-for-java,Extract Method,168
Copilot,Azure/azure-sdk-for-java,Extract Variable,263
Copilot,Azure/azure-sdk-for-java,Inline Method,24
Copilot,Azure/azure-sdk-for-java,Inline Variable,653
Copilot,Azure/azure-sdk-for-java,Localize Parameter,20
Copilot,Azure/azure-sdk-for-java,Merge Class,6
Copilot,Azure/azure-sdk-for-java,Merge Conditional,1
Copilot,Azure/azure-sdk-for-java,Merge Parameter,16
Copilot,Azure/azure-sdk-for-java,Modify Class Annotation,1151
Copilot,Azure/azure-sdk-for-java,Modify Method Annotation,141
Copilot,Azure/azure-sdk-for-java,Move And Inline Method,6
Copilot,Azure/azure-sdk-for-java,Move And Rename Attribute,1
Copilot,Azure/azure-sdk-for-java,Move And Rename Class,26
Copilot,Azure/azure-sdk-for-java,Move And Rename Method,45
Copilot,Azure/azure-sdk-for-java,Move Attribute,23
Copilot,Azure/azure-sdk-for-java,Move Class,1317
Copilot,Azure/azure-sdk-for-java,Move Code,17
Copilot,Azure/azure-sdk-for-java,Move Method,223
Copilot,Azure/azure-sdk-for-java,Move Package,3
Copilot,Azure/azure-sdk-for-java,Move Source Folder,15
Copilot,Azure/azure-sdk-for-java,Parameterize Attribute,4
Copilot,Azure/azure-sdk-for-java,Parameterize Variable,24
Copilot,Azure/azure-sdk-for-java,Remove Attribute Annotation,12
Copilot,Azure/azure-sdk-for-java,Remove Attribute Modifier,158
Copilot,Azure/azure-sdk-for-java,Remove Class Annotation,30
Copilot,Azure/azure-sdk-for-java,Remove Method Annotation,961
Copilot,Azure/azure-sdk-for-java,Remove Method Modifier,6
Copilot,Azure/azure-sdk-for-java,Remove Parameter,1411
Copilot,Azure/azure-sdk-for-java,Remove Parameter Annotation,14
Copilot,Azure/azure-sdk-for-java,Remove Thrown Exception Type,172
Copilot,Azure/azure-sdk-for-java,Remove Variable Modifier,13
Copilot,Azure/azure-sdk-for-java,Rename Attribute,365
Copilot,Azure/azure-sdk-for-java,Rename Class,109
Copilot,Azure/azure-sdk-for-java,Rename Method,242
Copilot,Azure/azure-sdk-for-java,Rename Parameter,266
Copilot,Azure/azure-sdk-for-java,Rename Variable,675
Copilot,Azure/azure-sdk-for-java,Replace Anonymous With Class,3
Copilot,Azure/azure-sdk-for-java,Replace Anonymous With Lambda,2
